RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11
102001,United States,0,1381,1387,1393,1399,1405,1411,1417,1423,1429,1435,1440,1446,1452,1458,1463,1469,1474,1480,1486,1491,1497,1502,1508,1513,1518,1523,1528,1533,1538,1542,1547,1551,1555,1559,1564,1568,1572,1576,1579,1583,1587,1591,1595,1599,1603,1607,1612,1616,1620,1625,1630,1635,1641,1646,1651,1656,1661,1666,1671,1676,1681,1686,1691,1696,1701,1706,1711,1716,1721,1725,1728,1732,1735,1735,1736,1737,1738,1739,1740,1740,1741,1741,1742
394913,"New York, NY",1,2371,2381,2392,2403,2414,2425,2436,2447,2457,2468,2478,2489,2499,2508,2518,2527,2536,2545,2554,2562,2569,2577,2583,2589,2595,2600,2604,2609,2613,2617,2622,2625,2629,2633,2637,2640,2644,2648,2652,2655,2658,2661,2664,2667,2669,2671,2674,2677,2680,2683,2687,2690,2694,2699,2703,2708,2713,2718,2724,2730,2736,2742,2748,2754,2760,2766,2772,2777,2782,2787,2786,2785,2784,2768,2753,2737,2720,2703,2686,2667,2649,2630,2610
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1876,1889,1902,1916,1929,1942,1956,1969,1982,1995,2007,2019,2032,2043,2054,2066,2077,2089,2101,2113,2125,2137,2149,2161,2174,2185,2197,2208,2219,2230,2240,2250,2260,2270,2280,2290,2300,2309,2319,2328,2337,2345,2354,2362,2371,2379,2387,2395,2403,2411,2420,2428,2437,2446,2455,2463,2472,2480,2488,2496,2504,2511,2518,2525,2532,2538,2545,2551,2557,2563,2566,2569,2571,2570,2570,2569,2568,2567,2566,2564,2563,2561,2560
394463,"Chicago, IL",3,1538,1543,1548,1553,1557,1562,1566,1571,1575,1579,1583,1587,1591,1595,1599,1603,1607,1612,1616,1621,1626,1631,1637,1642,1648,1652,1656,1661,1664,1667,1671,1673,1676,1679,1682,1684,1687,1689,1692,1694,1697,1699,1702,1704,1707,1709,1712,1714,1717,1720,1723,1725,1728,1731,1734,1738,1741,1744,1748,1751,1755,1759,1763,1767,1771,1775,1780,1783,1787,1790,1791,1792,1794,1791,1789,1786,1784,1781,1778,1775,1772,1769,1765
394514,"Dallas-Fort Worth, TX",4,1221,1227,1232,1238,1244,1249,1255,1261,1266,1272,1278,1284,1290,1295,1301,1307,1312,1318,1323,1329,1334,1339,1345,1350,1356,1362,1368,1373,1379,1385,1391,1396,1401,1407,1411,1416,1421,1425,1429,1434,1438,1442,1446,1450,1454,1458,1462,1466,1470,1473,1477,1481,1485,1489,1493,1497,1501,1506,1510,1515,1519,1524,1528,1533,1537,1541,1546,1549,1553,1556,1559,1561,1563,1564,1566,1567,1569,1571,1572,1574,1575,1577,1578
394974,"Philadelphia, PA",5,1372,1375,1377,1380,1382,1385,1387,1390,1392,1395,1398,1401,1404,1407,1410,1413,1416,1420,1423,1427,1431,1435,1438,1442,1446,1449,1453,1456,1460,1464,1467,1470,1474,1477,1480,1482,1485,1487,1490,1492,1494,1496,1497,1500,1502,1504,1507,1511,1514,1517,1521,1525,1530,1534,1539,1543,1548,1552,1557,1561,1566,1570,1574,1578,1583,1587,1591,1595,1599,1603,1606,1609,1611,1613,1615,1616,1618,1620,1621,1623,1624,1626,1627
394692,"Houston, TX",6,1269,1279,1288,1298,1308,1317,1326,1335,1344,1353,1360,1366,1373,1377,1381,1385,1388,1391,1394,1397,1399,1401,1403,1404,1405,1406,1406,1407,1407,1407,1407,1406,1406,1405,1405,1404,1404,1404,1404,1405,1407,1410,1412,1416,1420,1424,1428,1433,1438,1442,1446,1450,1452,1454,1456,1457,1459,1460,1461,1463,1464,1466,1468,1470,1472,1474,1477,1479,1481,1483,1484,1485,1486,1485,1485,1485,1485,1485,1485,1485,1485,1484,1484
395209,"Washington, DC",7,1908,1911,1915,1919,1922,1926,1930,1933,1937,1940,1943,1946,1949,1952,1954,1957,1960,1963,1967,1971,1975,1978,1982,1985,1989,1992,1994,1997,2000,2002,2004,2007,2009,2012,2015,2018,2021,2024,2027,2030,2032,2034,2036,2038,2040,2041,2043,2046,2048,2052,2056,2059,2064,2069,2074,2079,2084,2089,2094,2099,2104,2109,2113,2118,2122,2126,2131,2134,2138,2142,2143,2144,2144,2141,2137,2133,2129,2125,2121,2117,2112,2108,2103
394856,"Miami-Fort Lauderdale, FL",8,1572,1580,1587,1595,1603,1611,1618,1626,1634,1642,1650,1658,1665,1673,1681,1689,1696,1704,1712,1719,1727,1734,1741,1748,1754,1760,1765,1770,1774,1778,1782,1784,1787,1790,1792,1794,1796,1799,1801,1804,1807,1809,1812,1815,1818,1821,1825,1829,1833,1837,1841,1846,1850,1855,1860,1864,1868,1872,1876,1880,1884,1887,1891,1894,1898,1902,1906,1910,1914,1918,1921,1925,1928,1930,1931,1933,1935,1937,1939,1940,1942,1943,1945
394347,"Atlanta, GA",9,1145,1149,1153,1158,1162,1167,1171,1176,1180,1185,1190,1195,1200,1205,1211,1216,1221,1227,1232,1238,1243,1249,1255,1261,1268,1274,1281,1287,1294,1300,1307,1313,1319,1325,1330,1336,1342,1348,1353,1359,1364,1370,1376,1381,1387,1393,1399,1405,1412,1418,1425,1432,1439,1446,1454,1461,1469,1476,1483,1490,1497,1504,1510,1516,1522,1527,1532,1537,1542,1547,1551,1555,1559,1564,1569,1575,1580,1586,1591,1597,1602,1608,1614
